Anomaly: Warzone Earth ;Real Time Strategy (RTS);04/08/11;11 bit studios;Piotr Musial;Anomaly: Warzone Earth is a real time strategy video game by 11 bit studios.  The game was initially announced in late 2010,  and released on April 8, 2011 for Windows and Mac OS X.;http://upload.wikimedia.org/wikipedia/en/a/a7/AnomalyWarzoneEarthTitleArt.jpg;PC, iOS, Andriod, Xbox 360;http://www.anomalythegame.com/;
GT Legends ;Racing game;01/23/06;SimBin Studios ;10tacle Studios ;"GT Legends is a sports car racing simulator developed by Simbin for the PC. It is based on the 2005 FIA Historic Racing Championships for GTC and TC cars of the 1960s and 1970s. This is a modern-day championship for historic cars, and so the circuit designs in GT Legends are those of the modern era, contrasting with games such as Grand Prix Legends which are actually set in historic times.

GT Legends has the same graphics engine as rFactor (developed by Image Space Incorporated), a similar physics engine but different multiplayer code. In the press, it was highly praised for its exceptionally good quality sounds and realism";http://upload.wikimedia.org/wikipedia/en/a/a7/Gt_legends_video_game_PC_cover_scan.jpg;PC, iOS, Andriod, Xbox 360;http://www.simbin.se/games/gt-legends/;E
Azkend 2: The World Beneath ;Puzzle game;03/14/12;MythPeople;10tons Ltd;Azkend 2 is an upcoming action adventure puzzle game from 10tons and MythPeople.;http://image.gamespotcdn.net/gamespot/images/2003/all/boxshots2/646676_232996.jpg;PC;;
Fallout Tactics: Brotherhood of Steel ;Action RPG;03/14/01;Micro Forté ;14 Degrees East ;"Fallout Tactics: Brotherhood of Steel, better known as simply Fallout Tactics, is a turn-based/real-time tactical role-playing game     based in the post-apocalyptic Fallout universe.

Developed by Micro Forté and published by 14 Degrees East, Fallout Tactics was released on 14 March 2001 for PC. The game follows a squad in the fictional Brotherhood of Steel as it becomes engaged in a desperate war. Although the game takes place in the Fallout universe, it does not follow or continue the story of either Fallout or Fallout 2. Due to contradictions with the story and setting of those games, original Fallout creators and initially the creators of Fallout 3 considered Fallout Tactics non-canon . With the release of Fallout 3 by the new developing team Bethesda Softworks, however, the existence of the game's Brotherhood splinter faction is considered at least semi-canon, with Brotherhood of Steel members in-game explaining that the Chicago-based Brotherhood featured in Fallout Tactics ""...went rogue. Long story.""

Fallout Tactics shipped with a bonus CD when it was pre-ordered. The bonus CD included Fallout: Warfare, a table-top miniatures game based on the Fallout universe, as well as a bonus mission for the main game which occurs in Springfield.";http://upload.wikimedia.org/wikipedia/en/thumb/d/de/Fallout_Tactics_Box.jpg/256px-Fallout_Tactics_Box.jpg;PC;http://www.interplay.com/falloutbos/;M
Fantasy Wars ;Turn Based Strategy;11/08/07;1C: Ino-Co ;1C Company;"Fantasy Wars (Russian: Кодекс Войны; formerly Mythic Wars) is a fantasy turn-based tactical video game developed by Ino-Co and published by 1C Company. The game was released through GamersGate on October 2, 2007.  Fantasy Wars features four playable races (humans, orcs, elves and dwarves). The single-player story includes three campaigns, taking place over a series of tactical hex maps.  The game uses a 3D game engine and includes role-playing video game gameplay features such as experience points and skills.

Fantasy Wars is distributed electronically by GamersGate and GOG and is published in Europe by Nobilis France.  The game is distributed in Scandinavia by Paradox Interactive  and in North America by Atari. 

In April 2008, Paradox Interactive announced a sequel to Fantasy Wars entitled Elven Legacy. Elven Legacy is developed by 1C:Ino-Co  and was released in April 2009";http://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Fantasy_Wars.jpg/252px-Fantasy_Wars.jpg;PC;http://fantasywars.1cpublishing.eu/;M
Age of Pirates 2: City of Abandoned Ships ;Action RPG;05/26/09;Akella;1C Company;"Age of Pirates 2: City of Abandoned Ships (Russian: Корсары: Город потерянных кораблей, literally ""Corsairs: City of Abandoned Ships"") is a computer game developed by Akella,  which was released on May 26, 2009. It is the sequel to Sea Dogs (2000), Pirates of the Caribbean (2003), and Age of Pirates: Caribbean Tales (2006). Like Caribbean Tales, it does not boast either of the two former games' names, due to legal reasons.";http://upload.wikimedia.org/wikipedia/en/8/83/Age_of_Pirates_2_cover.jpg;PC;http://www.ageofpiratesthegame.com/;
Age of Pirates: Caribbean Tales ;Role Playing Game (RPG);09/12/06;Akella;1C Company;Age of Pirates: Caribbean Tales, known in Russia as Corsairs III (Корсары III), is a video game developed by Akella. Due to legal issues, it does not bear the name of the developers' previous pirate games Sea Dogs and Pirates of the Caribbean. Ironically, Pirates of the Caribbean was originally developed as Sea Dogs 2, but was modified at the brink of its release to fit the film license. Age of Pirates, on the other hand, is a true sequel to Sea Dogs despite the name change, and chronicles the story of the children of the main character from the original. The sequel of the game was released on May 26, 2009 titled Age of Pirates 2: City of Abandoned Ships;http://upload.wikimedia.org/wikipedia/en/f/fd/Age_of_pirates_front.jpg;PC;http://www.ageofpiratesthegame.com/;
You Are Empty ;First Person Shooter (FPS);06/01/07;Digital Spray Studios ;1C Company;"You Are Empty is a first-person shooter video game based in a fictionalized postwar Soviet Union. The game begins with the protagonist waking up in a ruined hospital, and it soon becomes clear that the populace has been afflicted by mutation and madness. He then must battle to stay alive and unravel the mystery.

At E3 2006 the developers of You Are Empty gave GameSpot a private screening of the game. GameSpot expressed interest in the physics engine, saying that it might ""have some unexpected consequences"". 

You Are Empty was released in North America on October 16, 2007.";http://upload.wikimedia.org/wikipedia/en/thumb/9/91/You_Are_Empty.jpg/250px-You_Are_Empty.jpg;PC;http://www.youareempty.com/;M
Men of War: Assault Squad ;Real Time Strategy (RTS);02/13/11;Digitalmindsoft ;1C Company;Men of War: Assault Squad (Russian: В тылу врага 2: Штурм), is a real-time tactics / strategy game set in World War 2. It is a standalone expansion pack for the 2009 game Men of War;http://upload.wikimedia.org/wikipedia/en/5/56/Men_of_War.jpg;PC;http://www.menofwargame.com/;M
Men of War ;Real Time Strategy (RTS);03/16/09;Digitalmindsoft ;1C Company;"Men of War (Russian: В тылу врага 2: Лис пустыни (Behind Enemy Lines 2: Desert Fox)) is a real-time tactics video game and the sequel to the 2006 game Faces of War (which was a sequel to the 2004 Soldiers: Heroes of World War II), developed in partnership with Best Way and published by 1C Company, 505 Games, and Aspyr Media.

The single player campaign takes place during World War II and features battles set in Europe, the Soviet Union, Greece, and North Africa, across three different campaigns for the Allies, Germans and Soviets. Men of War features Japan as a new multiplayer faction.";http://upload.wikimedia.org/wikipedia/en/5/56/Men_of_War.jpg;PC;http://www.menofwargame.com/;M
Men of War: Red Tide ;Real Time Strategy (RTS);11/01/09;Digitalmindsoft ;1C Company;Men of War: Red Tide (Russian: Черные бушлаты) is a real-time strategy and real-time tactics video game and the sequel to the game Men of War, developed in partnership with Best Way by Digitalmindsoft and published by 1C Company. Game concept and scenario are elaborated by Alexander Zorich, modern Russian writer and scenarist ;http://upload.wikimedia.org/wikipedia/en/thumb/8/84/Menofwarredtideboxart.jpg/250px-Menofwarredtideboxart.jpg;PC;http://www.menofwargame.com/;M
Men of War: Condemned Heroes ;Real Time Strategy (RTS);Q1 2012;Digitalmindsoft ;1C Company;Men of War: Condemned Heroes is the newest installment in the best-selling Men of War series which fuses tactical thinking with the action-packed direct control mode ;;PC;http://www.menofwargame.com/;M
Ascension to the Throne ;Turn Based Strategy;TBA;DVS;1C Company;A turn-based strategy game with RPG elements, Ascension to the Throne places players in a fantasy environment in which they must make new allies and fight enemies to take their place as ruler;http://image.gamespotcdn.net/gamespot/images/2003/all/boxshots2/920462_176778.jpg;PC;http://www.1c.ru/;
X-Blades ;Beat em up;02/09/09;Gaijin Entertainment ;1C Company;X-Blades is an action-adventure game for the PlayStation 3, Xbox 360 and Microsoft Windows.  The player assumes the role of Ayumi who wields two pistol-blades. The game was developed by Gaijin Entertainment and was published by SouthPeak Interactive and TopWare Interactive. The game was originally released in December 2007 by 1C Company in the Russian language for Microsoft Windows, under the title Oniblade (Ониблейд).;http://upload.wikimedia.org/wikipedia/en/2/27/X-Blades_Cover.jpg;PC, PS 3, Xbox 360;http://www.x-blades.com/;M
Death to Spies: Moment of Truth ;Action Adventure;08/10/09;Haggard Games ;1C Company;Death To Spies: Moment Of Truth (Russian: Смерть шпионам: Момент истины) is a third-person stealth action PC game set during World War II. Produced by 1C Company along with Haggard Games, Moment of Truth is a sequel to the stealth action title Death to Spies.;http://upload.wikimedia.org/wikipedia/en/2/27/Death_to_Spies-Moment_of_Truth_Images_poster.jpg;PC;http://www.death2spies.com/;M
King's Bounty: Armored Princess ;Role Playing Game (RPG);11/19/09;Katauri Interactive ;1C Company;"King's Bounty: Armored Princess is a 2009 video game developed for Microsoft Windows by Katauri Interactive and published in most regions by 1C Company. It is the sequel to the strategy game King's Bounty: The Legend, which is itself based on concepts from the much older King's Bounty developed years earlier by New World Computing. While the mechanics of the game do not differ significantly from that of the previous year's release, it features a new heroine and other minor new elements.

The title was first announced in November 2008,   with the first release being the Russian version on April 10, 2009. The Polish version was released on October 23, 2009, while the North American version was released on November 20, 2009.  Serving as an alternate publisher, Focus Multimedia published the title in the UK on March 19, 2010.  dtp entertainment published on April 2010 the German-language edition of Armored Princess";http://upload.wikimedia.org/wikipedia/en/4/4b/King%27s_Bounty_Armored_Princess_cover.png;PC;http://www.kingsbountygame.com/;T
King's Bounty: Crossworlds ;Turn Based Strategy;09/17/10;Katauri Interactive ;1C Company;"King’s Bounty: Crossworlds is an expansion pack for the tactical role-playing game King's Bounty: Armored Princess.

The third release in the series includes the Orcs on the March expansion (which is the expanded version of Princess in Armour campaign, with totally rebalanced orcs), the two new independent campaigns Champion of the Arena and Defender of the Crown and an editor with help system. The editor allows the user to create additional content for the game and alter it in any way.";http://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Kings_Bounty-Crossworlds-packshot.jpg/256px-Kings_Bounty-Crossworlds-packshot.jpg;PC;http://www.kingsbountygame.com/;T
